,open_price,high_price,low_price,close_price,date_price,volume
0,0.37249,0.374543,0.37249,0.374543,2023-03-04 18:00:00,593218721.5744294
1,0.375483,0.377808,0.37372,0.37372,2023-03-04 22:00:00,582646559.6459063
2,0.376292,0.376469,0.374884,0.374884,2023-03-05 02:00:00,555692625.6794187
3,0.374912,0.374912,0.373483,0.374554,2023-03-05 06:00:00,558006697.106222
4,0.373565,0.374055,0.373565,0.373655,2023-03-05 10:00:00,569476188.0531864
5,0.373207,0.373207,0.371698,0.372028,2023-03-05 14:00:00,530996119.8814762
6,0.370115,0.371361,0.370115,0.370464,2023-03-05 18:00:00,534378429.84015584
7,0.368689,0.370938,0.364557,0.364557,2023-03-05 22:00:00,680577574.8333594
8,0.36703,0.36703,0.364932,0.364932,2023-03-06 02:00:00,849101852.1055516
9,0.364333,0.365956,0.363255,0.365956,2023-03-06 06:00:00,1011408358.4642439
10,0.362701,0.36638,0.362701,0.36638,2023-03-06 10:00:00,1110245529.1916223
11,0.368044,0.372835,0.368044,0.372835,2023-03-06 14:00:00,1219119882.823745
12,0.373482,0.373482,0.372134,0.37216,2023-03-06 18:00:00,1262854131.7593207
13,0.370967,0.370967,0.369346,0.369346,2023-03-06 22:00:00,1238926011.8851256
14,0.369062,0.373268,0.369062,0.373268,2023-03-07 02:00:00,1208295061.3997004
15,0.370915,0.371805,0.369919,0.371805,2023-03-07 06:00:00,1176019152.7204347
16,0.372229,0.377414,0.372229,0.377414,2023-03-07 10:00:00,1454106634.9870868
17,0.380818,0.380818,0.377163,0.379942,2023-03-07 14:00:00,1493010002.4854357
18,0.381956,0.384747,0.381956,0.381962,2023-03-07 18:00:00,1600742015.3300393
19,0.381325,0.38339,0.377572,0.377572,2023-03-07 22:00:00,1607845210.2770042
20,0.380128,0.380572,0.373573,0.376085,2023-03-08 02:00:00,1661646091.964793
21,0.377054,0.385617,0.377054,0.385617,2023-03-08 06:00:00,1789286148.933649
22,0.387665,0.39663,0.387665,0.392521,2023-03-08 10:00:00,2025860531.224112
23,0.396422,0.397461,0.393629,0.393629,2023-03-08 14:00:00,2055992820.6451032
24,0.396895,0.39787,0.389287,0.389287,2023-03-08 18:00:00,2057330076.4400785
25,0.389546,0.392952,0.389546,0.391271,2023-03-08 22:00:00,2096164821.9606197
26,0.389737,0.389737,0.387977,0.389645,2023-03-09 02:00:00,2103813130.1620317
27,0.391444,0.394649,0.391444,0.394649,2023-03-09 06:00:00,2079579645.3792999
28,0.394614,0.395528,0.394614,0.394867,2023-03-09 10:00:00,1694276417.8666372
29,0.394687,0.394687,0.387454,0.387454,2023-03-09 14:00:00,1767930930.1417577
30,0.37984,0.37984,0.366799,0.375616,2023-03-09 18:00:00,1880109254.4076498
31,0.373153,0.373153,0.369584,0.370494,2023-03-09 22:00:00,1907338043.3251388
32,0.375372,0.375372,0.36993,0.36993,2023-03-10 02:00:00,1904262124.7955225
33,0.371335,0.371598,0.361285,0.361285,2023-03-10 06:00:00,1974753254.5700874
34,0.364809,0.370989,0.364809,0.367627,2023-03-10 10:00:00,2071667030.3773282
35,0.37115,0.372083,0.366161,0.366161,2023-03-10 14:00:00,1889570947.9102008
36,0.368719,0.372821,0.368719,0.372821,2023-03-10 18:00:00,1593820887.3795002
37,0.371691,0.374017,0.37161,0.372308,2023-03-10 22:00:00,1533443024.618896
38,0.370608,0.370874,0.369402,0.369964,2023-03-11 02:00:00,1260904848.767264
39,0.363547,0.366614,0.363547,0.363796,2023-03-11 06:00:00,1360946609.3713455
40,0.362812,0.363202,0.361775,0.363202,2023-03-11 10:00:00,1181711202.5113022
41,0.363127,0.366359,0.363073,0.366359,2023-03-11 14:00:00,1146885557.992703
42,0.363994,0.365536,0.363511,0.363511,2023-03-11 18:00:00,1134168277.5788836
43,0.366037,0.366346,0.3643,0.3643,2023-03-11 22:00:00,992325825.9531645
44,0.364777,0.364777,0.363764,0.364096,2023-03-12 02:00:00,844886904.9081252
45,0.361209,0.361337,0.360267,0.361337,2023-03-12 06:00:00,764358435.1637204
46,0.362128,0.362128,0.353672,0.353672,2023-03-12 10:00:00,831345891.3816028
47,0.353865,0.365018,0.353865,0.365018,2023-03-12 14:00:00,984412899.4216655
48,0.362015,0.369021,0.362015,0.369021,2023-03-12 18:00:00,1204499052.1002083
49,0.37247,0.375585,0.370408,0.370408,2023-03-12 22:00:00,1417759442.0506613
