,open_price,high_price,low_price,close_price,date_price,volume
0,0.52113,0.522737,0.52113,0.522737,2023-04-02 16:00:00,1615383194.0014687
0,0.52113,0.522737,0.52113,0.522737,2023-04-02 16:00:00,1614177693.1261373
0,0.52113,0.522737,0.52113,0.522737,2023-04-02 16:00:00,1614123475.8567252
0,0.52113,0.522737,0.52113,0.522737,2023-04-02 16:00:00,1614642306.8764906
0,0.52113,0.522737,0.52113,0.522737,2023-04-02 16:00:00,1614206872.513571
0,0.52113,0.522737,0.52113,0.522737,2023-04-02 16:00:00,1614586573.6968765
0,0.52113,0.522737,0.52113,0.522737,2023-04-02 16:00:00,1616574058.8776045
1,0.523251,0.523251,0.520423,0.520834,2023-04-02 16:30:00,1613591031.1282558
1,0.523251,0.523251,0.520423,0.520834,2023-04-02 16:30:00,1615281588.0022373
1,0.523251,0.523251,0.520423,0.520834,2023-04-02 16:30:00,1615971849.7353635
1,0.523251,0.523251,0.520423,0.520834,2023-04-02 16:30:00,1618574932.8651052
1,0.523251,0.523251,0.520423,0.520834,2023-04-02 16:30:00,1588653539.3215568
2,0.519065,0.522807,0.51903,0.522807,2023-04-02 17:00:00,1626924383.6106768
2,0.519065,0.522807,0.51903,0.522807,2023-04-02 17:00:00,1623333424.2497237
2,0.519065,0.522807,0.51903,0.522807,2023-04-02 17:00:00,1622482337.1367652
2,0.519065,0.522807,0.51903,0.522807,2023-04-02 17:00:00,1619634455.090213
2,0.519065,0.522807,0.51903,0.522807,2023-04-02 17:00:00,1620576272.3539994
2,0.519065,0.522807,0.51903,0.522807,2023-04-02 17:00:00,1621134204.0379379
3,0.52266,0.52266,0.520348,0.521411,2023-04-02 17:30:00,1623467251.4818778
3,0.52266,0.52266,0.520348,0.521411,2023-04-02 17:30:00,1623244633.6988158
3,0.52266,0.52266,0.520348,0.521411,2023-04-02 17:30:00,1623140384.5287073
3,0.52266,0.52266,0.520348,0.521411,2023-04-02 17:30:00,1620070762.864195
3,0.52266,0.52266,0.520348,0.521411,2023-04-02 17:30:00,1619653178.176024
3,0.52266,0.52266,0.520348,0.521411,2023-04-02 17:30:00,1622515475.0157032
4,0.521932,0.521932,0.519909,0.520639,2023-04-02 18:00:00,1622166538.9489365
4,0.521932,0.521932,0.519909,0.520639,2023-04-02 18:00:00,1617708803.0076108
4,0.521932,0.521932,0.519909,0.520639,2023-04-02 18:00:00,1607436445.4235158
4,0.521932,0.521932,0.519909,0.520639,2023-04-02 18:00:00,1625409859.0503902
4,0.521932,0.521932,0.519909,0.520639,2023-04-02 18:00:00,1626195147.095573
4,0.521932,0.521932,0.519909,0.520639,2023-04-02 18:00:00,1630789468.7932005
5,0.520236,0.522334,0.518604,0.522334,2023-04-02 18:30:00,1631355179.1335728
5,0.520236,0.522334,0.518604,0.522334,2023-04-02 18:30:00,1625645867.9912002
5,0.520236,0.522334,0.518604,0.522334,2023-04-02 18:30:00,1594707876.3753386
5,0.520236,0.522334,0.518604,0.522334,2023-04-02 18:30:00,1624259923.0582106
5,0.520236,0.522334,0.518604,0.522334,2023-04-02 18:30:00,1624472342.7434626
5,0.520236,0.522334,0.518604,0.522334,2023-04-02 18:30:00,1590813420.5262585
6,0.522435,0.524939,0.519379,0.519379,2023-04-02 19:00:00,1624143127.2556021
6,0.522435,0.524939,0.519379,0.519379,2023-04-02 19:00:00,1622922893.591796
6,0.522435,0.524939,0.519379,0.519379,2023-04-02 19:00:00,1624656311.713212
6,0.522435,0.524939,0.519379,0.519379,2023-04-02 19:00:00,1624756213.047157
6,0.522435,0.524939,0.519379,0.519379,2023-04-02 19:00:00,1625116136.8349524
6,0.522435,0.524939,0.519379,0.519379,2023-04-02 19:00:00,1627108918.0246072
7,0.520459,0.521438,0.520134,0.52088,2023-04-02 19:30:00,1634546817.9020712
7,0.520459,0.521438,0.520134,0.52088,2023-04-02 19:30:00,1633903809.936191
7,0.520459,0.521438,0.520134,0.52088,2023-04-02 19:30:00,1644467776.1885805
7,0.520459,0.521438,0.520134,0.52088,2023-04-02 19:30:00,1628717328.4351132
7,0.520459,0.521438,0.520134,0.52088,2023-04-02 19:30:00,1651283096.5962865
7,0.520459,0.521438,0.520134,0.52088,2023-04-02 19:30:00,1679456794.7164748
8,0.521746,0.522169,0.5114,0.512122,2023-04-02 20:00:00,1435967212.4082928
8,0.521746,0.522169,0.5114,0.512122,2023-04-02 20:00:00,1692326549.8837624
8,0.521746,0.522169,0.5114,0.512122,2023-04-02 20:00:00,1730721026.636597
8,0.521746,0.522169,0.5114,0.512122,2023-04-02 20:00:00,1744047663.166311
8,0.521746,0.522169,0.5114,0.512122,2023-04-02 20:00:00,1741218435.597188
8,0.521746,0.522169,0.5114,0.512122,2023-04-02 20:00:00,1738291498.459051
9,0.508886,0.511916,0.506285,0.51128,2023-04-02 20:30:00,1738186804.8331594
9,0.508886,0.511916,0.506285,0.51128,2023-04-02 20:30:00,1760090711.458368
9,0.508886,0.511916,0.506285,0.51128,2023-04-02 20:30:00,1763105802.8092847
9,0.508886,0.511916,0.506285,0.51128,2023-04-02 20:30:00,1768099685.1725223
9,0.508886,0.511916,0.506285,0.51128,2023-04-02 20:30:00,1769216358.908534
9,0.508886,0.511916,0.506285,0.51128,2023-04-02 20:30:00,1760912122.539693
10,0.51128,0.51128,0.510115,0.510115,2023-04-02 21:00:00,1739982261.7196357
10,0.51128,0.51128,0.510115,0.510115,2023-04-02 21:00:00,1715107275.0469
10,0.51128,0.51128,0.510115,0.510115,2023-04-02 21:00:00,1701883201.540946
10,0.51128,0.51128,0.510115,0.510115,2023-04-02 21:00:00,1696753910.93502
10,0.51128,0.51128,0.510115,0.510115,2023-04-02 21:00:00,1694122073.1175714
10,0.51128,0.51128,0.510115,0.510115,2023-04-02 21:00:00,1691212538.8883605
11,0.509792,0.511802,0.50974,0.511802,2023-04-02 21:30:00,1687810847.7519035
11,0.509792,0.511802,0.50974,0.511802,2023-04-02 21:30:00,1683286025.7484019
11,0.509792,0.511802,0.50974,0.511802,2023-04-02 21:30:00,1685162731.7000823
